Item,Location,Series ID
Personal care products,Sydney,A2329181V
Other non-durable household products,Sydney,A2330081J
Domestic and household services,Sydney,A2330126A
Child care,Sydney,A2331566X
Hairdressing and personal grooming services,Sydney,A2329226L
Other household services,Sydney,A2331656C
Health,Sydney,A2331071W
"Medical products, appliances and equipment",Sydney,A3603613V
Pharmaceutical products,Sydney,A2329136J
Therapeutic appliances and equipment,Sydney,A2329046C
"Medical, dental and hospital services",Sydney,A3603653L
Medical and hospital services,Sydney,A2329001X
Dental services,Sydney,A2329091R
Transport,Sydney,A2326031J
Private motoring,Sydney,A2326616R
Motor vehicles,Sydney,A2328551X
Spare parts and accessories for motor vehicles,Sydney,A2328686J
Automotive fuel,Sydney,A2328596C
Maintenance and repair of motor vehicles,Sydney,A2328731J
Other services in respect of motor vehicles,Sydney,A2328641C
Urban transport fares,Sydney,A2326661A
Urban transport fares,Sydney,A2328776L
Communication,Sydney,A2331161A
Communication,Sydney,A2326571W
Postal services,Sydney,A2328461V
Telecommunication equipment and services,Sydney,A2328506L
Recreation and culture,Sydney,A2331206V
"Audio, visual and computing equipment and services",Sydney,A3603813L
"Audio, visual and computing equipment",Sydney,A2329271X
"Audio, visual and computing media and services",Sydney,A3603693F
"Newspapers, books and stationery",Sydney,A3603733L
Books,Sydney,A2330171L
"Newspapers, magazines and stationery",Sydney,A3603773F
Holiday travel and accommodation,Sydney,A2326841K
Domestic holiday travel and accommodation,Sydney,A2329316T
International holiday travel and accommodation,Sydney,A2329361C
"Other recreation, sport and culture",Sydney,A2331341K
"Equipment for sports, camping and open-air recreation",Sydney,A2330306K
"Games, toys and hobbies",Sydney,A2330351W
Pets and related products,Sydney,A2328416J
Veterinary and other services for pets,Sydney,A2328371R
Sports participation,Sydney,A2330396A
"Other recreational, sporting and cultural services",Sydney,A2330441A
Education,Sydney,A2331386R
Education,Sydney,A2329406W
Preschool and primary education,Sydney,A2331431R
Secondary education,Sydney,A2331476V
Tertiary education,Sydney,A2331521V
Insurance and financial services,Sydney,A2332556L
Insurance,Sydney,A3602793W
Insurance,Sydney,A3602838R
Financial services,Sydney,A3603893X
Deposit and loan facilities (direct charges),Sydney,A3603853F
Other financial services,Sydney,A2332736W
All groups CPI,Sydney,A2325806K
Tradables,Sydney,A2330486F
Non-tradables,Sydney,A2330531F
"All groups, goods component",Sydney,A2330576K
"All groups, services component",Sydney,A2330666R
All groups CPI including deposit and loan facilities (indirect charges),Sydney,A3604318W
All groups CPI excluding Food and non-alcoholic beverages,Sydney,A2332061K
All groups CPI excluding Alcohol and tobacco,Sydney,A2332106C
All groups CPI excluding Clothing and footwear,Sydney,A2332151R
All groups CPI excluding Housing,Sydney,A2332196V
"All groups CPI excluding Furnishings, household equipment and services",Sydney,A2332241V
All groups CPI excluding Health,Sydney,A2332286X
All groups CPI excluding Transport,Sydney,A2332331X
All groups CPI excluding Communication,Sydney,A2332376C
All groups CPI excluding Recreation and culture,Sydney,A2332421C
All groups CPI excluding Education,Sydney,A2332466J
All groups CPI excluding Insurance and financial services,Sydney,A2332601L
All groups CPI excluding Housing and Insurance and financial services,Sydney,A2332646T
All groups CPI excluding Medical and hospital services,Sydney,A2332511J
All groups CPI excluding food and energy,Sydney,A3604278R
All groups CPI excluding 'volatile items',Sydney,A2330801V
Food and non-alcoholic beverages,Melbourne,A2325856J
Bread and cereal products,Melbourne,A2326171K
Bread,Melbourne,A2327026J
Cakes and biscuits,Melbourne,A2327071V
Breakfast cereals,Melbourne,A2327116L
Other cereal products,Melbourne,A2327161X
Meat and seafoods,Melbourne,A2326216C
Beef and veal,Melbourne,A2327206T
Pork,Melbourne,A3603908C
Lamb and goat,Melbourne,A2327251C
Poultry,Melbourne,A2327341J
Other meats,Melbourne,A2327431L
Fish and other seafood,Melbourne,A2327476T
Dairy and related products,Melbourne,A2326126X
Milk,Melbourne,A2326891J
Cheese,Melbourne,A2326936A
Ice cream and other dairy products,Melbourne,A2326981L
Fruit and vegetables,Melbourne,A2330851T
Fruit,Melbourne,A2330896W
Vegetables,Melbourne,A2330941W
Food products n.e.c.,Melbourne,A3603948W
Eggs,Melbourne,A2327611W
"Jams, honey and spreads",Melbourne,A2327656A
Food additives and condiments,Melbourne,A2329456V
Oils and fats,Melbourne,A2329501V
Snacks and confectionery,Melbourne,A2331706R
Other food products n.e.c.,Melbourne,A2327746F
Non-alcoholic beverages,Melbourne,A3603988R
"Coffee, tea and cocoa",Melbourne,A2327701A
"Waters, soft drinks and juices",Melbourne,A2331751A
Meals out and take away foods,Melbourne,A2326261R
Restaurant meals,Melbourne,A2327521T
Take away and fast foods,Melbourne,A2327566W
Alcohol and tobacco,Melbourne,A2326081F
Alcoholic beverages,Melbourne,A2326711L
Spirits,Melbourne,A2328916C
Wine,Melbourne,A2328871K
Beer,Melbourne,A2328826X
Tobacco,Melbourne,A2326756T
Tobacco,Melbourne,A2328961R
Clothing and footwear,Melbourne,A2325901J
Garments,Melbourne,A3604028X
Garments for men,Melbourne,A2329546X
Garments for women,Melbourne,A2329681R
Garments for infants and children,Melbourne,A2329726J
Footwear,Melbourne,A2326351V
Footwear for men,Melbourne,A2327881W
Footwear for women,Melbourne,A2327926R
Footwear for infants and children,Melbourne,A2327971A
Accessories and clothing services,Melbourne,A2329771V
Accessories,Melbourne,A2329816L
"Cleaning, repair and hire of clothing and footwear",Melbourne,A2328016W
Housing,Melbourne,A2325946L
Rents,Melbourne,A2331841F
Rents,Melbourne,A2326396X
New dwelling purchase by owner-occupiers,Melbourne,A3604228T
New dwelling purchase by owner-occupiers,Melbourne,A2329906T
Other housing,Melbourne,A3603578X
Maintenance and repair of the dwelling,Melbourne,A2328061J
Property rates and charges,Melbourne,A2329951C
Utilities,Melbourne,A2326486C
Water and sewerage,Melbourne,A2329861X
Electricity,Melbourne,A2328106A
Gas and other household fuels,Melbourne,A2331886K
"Furnishings, household equipment and services",Melbourne,A2325991X
Furniture and furnishings,Melbourne,A3604148T
Furniture,Melbourne,A2328151L
Carpets and other floor coverings,Melbourne,A3604188K
Household textiles,Melbourne,A3604068T
Household textiles,Melbourne,A3604108X
"Household appliances, utensils and tools",Melbourne,A2329996J
Major household appliances,Melbourne,A2328241T
Small electric household appliances,Melbourne,A2330986A
"Glassware, tableware and household utensils",Melbourne,A2331031C
Tools and equipment for house and garden,Melbourne,A2328286W
Non-durable household products,Melbourne,A2330041R
Cleaning and maintenance products,Melbourne,A2328331W
Personal care products,Melbourne,A2329186F
Other non-durable household products,Melbourne,A2330086V
Domestic and household services,Melbourne,A2330131V
Child care,Melbourne,A2331571T
Hairdressing and personal grooming services,Melbourne,A2329231F
Other household services,Melbourne,A2331661W
Health,Melbourne,A2331076J
"Medical products, appliances and equipment",Melbourne,A3603618F
Pharmaceutical products,Melbourne,A2329141A
Therapeutic appliances and equipment,Melbourne,A2329051W
"Medical, dental and hospital services",Melbourne,A3603658X
Medical and hospital services,Melbourne,A2329006K
Dental services,Melbourne,A2329096A
Transport,Melbourne,A2326036V
Private motoring,Melbourne,A2326621J
Motor vehicles,Melbourne,A2328556K
Spare parts and accessories for motor vehicles,Melbourne,A2328691A
Automotive fuel,Melbourne,A2328601K
Maintenance and repair of motor vehicles,Melbourne,A2328736V
Other services in respect of motor vehicles,Melbourne,A2328646R
Urban transport fares,Melbourne,A2326666L
Urban transport fares,Melbourne,A2328781F
Communication,Melbourne,A2331166L
Communication,Melbourne,A2326576J
Postal services,Melbourne,A2328466F
Telecommunication equipment and services,Melbourne,A2328511F
Recreation and culture,Melbourne,A2331211L
"Audio, visual and computing equipment and services",Melbourne,A3603818X
"Audio, visual and computing equipment",Melbourne,A2329276K
"Audio, visual and computing media and services",Melbourne,A3603698T
"Newspapers, books and stationery",Melbourne,A3603738X
Books,Melbourne,A2330176X
"Newspapers, magazines and stationery",Melbourne,A3603778T
Holiday travel and accommodation,Melbourne,A2326846W
Domestic holiday travel and accommodation,Melbourne,A2329321K
International holiday travel and accommodation,Melbourne,A2329366R
"Other recreation, sport and culture",Melbourne,A2331346W
"Equipment for sports, camping and open-air recreation",Melbourne,A2330311C
"Games, toys and hobbies",Melbourne,A2330356J
Pets and related products,Melbourne,A2328421A
Veterinary and other services for pets,Melbourne,A2328376A
Sports participation,Melbourne,A2330401J
"Other recreational, sporting and cultural services",Melbourne,A2330446L
Education,Melbourne,A2331391J
Education,Melbourne,A2329411R
Preschool and primary education,Melbourne,A2331436A
Secondary education,Melbourne,A2331481L
Tertiary education,Melbourne,A2331526F
Insurance and financial services,Melbourne,A2332561F
Insurance,Melbourne,A3602798J
Insurance,Melbourne,A3602843J
